State,District,Latitude,Longitude
Assam,Marigaon,26.70472375,92.04215071
Assam,Chirang,26.70472375,92.04215071
Assam,Cachar,25.083333,92.916667
Assam,Nalbari,25.083333,92.916667
Assam,West Karbi Anglong,25.083333,92.916667
Assam,Dhemaji,27.5945155,94.71920979
Assam,Karimganj,24.86648155,92.35121508
Assam,Bongaigaon,24.86648155,92.35121508
Assam,Dima Hasao,25.40036255,93.07522923
Assam,Baksa,25.40036255,93.07522923
Assam,Charaideo,25.40036255,93.07522923
Assam,Darrang,26.75,92.5
Assam,Kamrup Metropolitan,26.75,92.5
Assam,Hailakandi,24.6827307,92.5622753
Assam,Barpeta,24.6827307,92.5622753
Assam,Goalpara,24.6827307,92.5622753
Assam,Biswanath,24.6827307,92.5622753
Assam,Jorhat,26.7586112,94.20640848
Bihar,Madhepura,26.7586112,94.20640848
Bihar,Purnia,25.774436,87.41003213
Bihar,Nalanda,25.4374355,85.2919909
Bihar,Buxar,25.4374355,85.2919909
Bihar,Darbhanga,25.4374355,85.2919909
Bihar,Nawada,24.7270817,84.5693914
Bihar,Jamui,24.7270817,84.5693914
Bihar,Sheikhpura,24.7270817,84.5693914
Bihar,Siwan,26.166667,84.5
Bihar,Muzaffarpur,26.1667052,85.4166314
Bihar,Patna,25.46737665,85.19581528
Bihar,Jehanabad,25.46737665,85.19581528
Bihar,Rohtas,24.93928775,84.01945449
Bihar,Begusarai,25.5,86.25
Bihar,Supaul,25.5,86.25
Bihar,Sitamarhi,26.666667,85.5
Bihar,Saran,25.6085763,85.1993479
Bihar,Arwal,25.2320301,84.6775384
Bihar,Vaishali,25.696274,85.2228359
Bihar,Pashchim Champaran,27,84.5
Bihar,Gopalganj,26.5,84.333333
Bihar,Lakhisarai,25.2830169,86.0190997
Bihar,Aurangabad,24.80340125,84.41113582
Bihar,Kaimur Bhabua,24.75750955,83.72099681
Bihar,Araria,26.3415664,87.9374027
Bihar,Munger,25.3795105,86.46264676
Bihar,Katihar,25.54325127,87.56777309
Bihar,Khagaria,25.50877,86.4756484
Bihar,Saharsa,25.8875611,86.5901104
Bihar,Bhagalpur,25,86.916667
Bihar,Madhubani,25,86.916667
Bihar,Kishanganj,26.29863795,87.95314811
Bihar,Gaya,25.6058077,85.088915
Bihar,Samastipur,25.75,85.916667
Bihar,Banka,24.8926007,86.9140729
Bihar,Purbi Champaran,24.8926007,86.9140729
Bihar,Sheohar,24.8926007,86.9140729
Bihar,Bhojpur,25.25,84.25
Chandigarh,Chandigarh,25.25,84.25
Chhattisgarh,Dhamtari,20.7077641,81.5396928
Chhattisgarh,Korba,22.5198217,82.63500285
Chhattisgarh,Surajpur,23.209675,82.880353
Chhattisgarh,Baloda Bazar,21.6632098,82.1493121
Chhattisgarh,Sukma,18.3853241,81.65120264
Chhattisgarh,Raigarh,22.23617945,83.35295335
Chhattisgarh,Janjgir Champa,22.23617945,83.35295335
Chhattisgarh,Jashpur,22.8825209,84.1362145
Chhattisgarh,Balod,22.8825209,84.1362145
Chhattisgarh,Kabirdham,22.8825209,84.1362145
Chhattisgarh,Surguja,22.94691345,83.16569423
Chhattisgarh,Dantewada,18.9090479,81.3427523
Chhattisgarh,Gariyaband,18.9090479,81.3427523
Chhattisgarh,Durg,21.1874054,81.2793137
Chhattisgarh,Rajnandgaon,21.166667,81
Chhattisgarh,Raipur,21.2317387,81.6401796
Chhattisgarh,Narayanpur,19.723781,81.2336786
Chhattisgarh,Kanker,20.2647118,81.4951987
Chhattisgarh,Korea,20.2647118,81.4951987
Chhattisgarh,Mungeli,20.2647118,81.4951987
Chhattisgarh,Bilaspur,22.4082821,82.3921724
Chhattisgarh,Balrampur,23.616665,83.618798
Chhattisgarh,Bijapur,18.7935679,80.815939
Chhattisgarh,Bemetara,21.7020322,81.5337224
Chhattisgarh,Bastar,19.25,81.25
Chhattisgarh,Kondagaon,19.25,81.25
Chhattisgarh,Mahasamund,21.113837,82.092952
Dadra and Nagar Haveli and Daman and Diu,Diu,20.7159534,70.9785005
Dadra and Nagar Haveli and Daman and Diu,Daman,20.416667,72.883333
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,20.32272883,72.96509449
Delhi,South Delhi,28.53748399,77.19792896
Delhi,Central Delhi,28.71578753,77.11489364
Delhi,New Delhi,28.61621824,77.20963694
Delhi,West Delhi,28.64817722,77.0908451
Delhi,South West Delhi,28.60195304,77.0355308
Delhi,South East Delhi,28.53562293,77.26959445
Delhi,Shahdara,28.67761172,77.29035406
Delhi,North East Delhi,28.70729655,77.26613159
Delhi,East Delhi,28.54206226,77.29572316
Delhi,North West Delhi,28.70227067,77.10572607
Delhi,North Delhi,28.72837891,77.16723154
Goa,North Goa,15.5368655,73.86949664
Goa,South Goa,15.29079185,73.95490783
Gujarat,Anand,22.4742502,72.73675821
Gujarat,Jamnagar,22.31008,70.10300203
Gujarat,Devbhumi Dwarka,22.2444759,68.96800188
Gujarat,Rajkot,22.8159425,70.8316013
Gujarat,Aravallis,22.8159425,70.8316013
Gujarat,Chhotaudepur,22.8159425,70.8316013
Gujarat,Botad,22.0456765,71.67217573
Gujarat,Bharuch,21.82728385,72.89461379
Gujarat,Bhavnagar,21.56228915,71.90747308
Gujarat,Junagadh,21.340255,70.42022268
Gujarat,Mahesana,23.57070915,72.44523649
Gujarat,The Dangs,20.75,73.75
Gujarat,Kheda,22.8548705,72.99330606
Gujarat,Surat,21.4626896,72.9515165
Gujarat,Porbandar,21.6021982,69.85433746
Gujarat,Gandhinagar,23.2813262,72.65577884
Gujarat,Panch Mahals,23,74
Gujarat,Narmada,21.73830395,73.62736016
Gujarat,Gir Somnath,20.9911049,70.68806405
Gujarat,Valsad,20.3828686,72.9038814
Gujarat,Mahisagar,23.1916967,73.6626353
Gujarat,Sabar Kantha,23.8689411,73.01447412
Gujarat,Tapi,21.1909141,73.55541086
Gujarat,Vadodara,22.3182519,73.30458876
Gujarat,Banas Kantha,24.26960875,72.16210995
Gujarat,Amreli,21.4191439,71.25276407
Gujarat,Ahmadabad,23.0216238,72.5797068
Gujarat,Dohad,23.0216238,72.5797068
Gujarat,Navsari,20.952407,72.9323831
Gujarat,Patan,20.96661175,70.42921753
Gujarat,Kachchh,23.2396061,69.6734288
Gujarat,Surendranagar,22.823085,71.55342629
Gujarat,Morbi,22.79314,70.88832711
Haryana,Yamunanagar,22.79314,70.88832711
Haryana,Sonipat,22.79314,70.88832711
Haryana,Jind,29.5,76.25
Haryana,Rohtak,28.8995429,76.5844714
Haryana,Faridabad,28.3526818,77.2778173
Haryana,Mahendragarh,28.3526818,77.2778173
Haryana,Hisar,29.1699202,75.7185553
Haryana,Karnal,29.6943382,77.004248
Haryana,Fatehabad,29.6943382,77.004248
Haryana,Palwal,29.6943382,77.004248
Haryana,Charkhi Dadri,28.6508033,76.2406402
Haryana,Ambala,28.9841361,75.6039914
Haryana,Rewari,28.2169291,76.58118449
Haryana,Panchkula,30.7108567,76.845983
Haryana,Bhiwani,28.7312325,75.89234987
Haryana,Sirsa,28.7312325,75.89234987
Haryana,Mewat,28.7312325,75.89234987
Haryana,Panipat,28.7312325,75.89234987
Haryana,Gurugram,28.4492944,77.03065871
Haryana,Kaithal,28.4492944,77.03065871
Haryana,Kurukshetra,30,76.75
Haryana,Jhajjar,30,76.75
Himachal Pradesh,Bilaspur,32.0292,76.1514
Himachal Pradesh,Solan,30,76.75
Himachal Pradesh,Sirmaur,30.75,77.5
Himachal Pradesh,Shimla,30.75,77.5
Himachal Pradesh,Hamirpur,31.7491333,76.5036832
Himachal Pradesh,Una,31.4674349,76.2650802
Himachal Pradesh,Kangra,32.2133569,76.3211252
Himachal Pradesh,Kullu,32.2133569,76.3211252
Himachal Pradesh,Mandi,32.5338976,76.0157454
Himachal Pradesh,Lahul and Spiti,32.5338976,76.0157454
Himachal Pradesh,Chamba,32.69301,76.16363499
Himachal Pradesh,Kinnaur,31.5864184,78.396745
Jammu and Kashmir,Muzaffarabad,30.0417376,79.089691
Jammu and Kashmir,Doda,33.13260995,75.58900789
Jammu and Kashmir,Samba,32.57591175,75.12034456
Jammu and Kashmir,Mirpur,33.2033829,73.78971926
Jammu and Kashmir,Srinagar,34.1163836,74.93070225
Jammu and Kashmir,Baramulla,34.17636405,74.31644116
Jammu and Kashmir,Jammu,32.7681864,74.92113175
Jammu and Kashmir,Ganderbal,34.28885605,75.02959807
Jammu and Kashmir,Udhampur,32.911964,75.32658449
Jammu and Kashmir,Bandipore,34.4563234,74.68249998
Jammu and Kashmir,Reasi,33.20599085,74.86267936
Jammu and Kashmir,Shopian,33.72078365,74.7714244
Jammu and Kashmir,Poonch,33.702939,74.24990152
Jammu and Kashmir,Kathua,32.5825837,75.61047967
Jammu and Kashmir,Kishtwar,33.61562,75.87939724
Jammu and Kashmir,Pulwama,33.9490472,75.04183347
Jammu and Kashmir,Ramban,33.33328915,75.19847627
Jammu and Kashmir,Rajouri,33.26636775,74.34384696
Jammu and Kashmir,Kulgam,33.6250902,74.69488803
Jammu and Kashmir,Budgam,33.9099319,74.62914426
Jammu and Kashmir,Anantnag,33.8096849,75.2494527
Jammu and Kashmir,Kupwara,34.5140696,74.19136703
Jharkhand,Ramgarh,34.5140696,74.19136703
Jharkhand,Ranchi,23,85
Jharkhand,East Singhbhum,23,85
Jharkhand,Jamtara,23,85
Jharkhand,Dumka,24.26618475,87.25313852
Jharkhand,Koderma,24.26618475,87.25313852
Jharkhand,Hazaribagh,24.26618475,87.25313852
Jharkhand,Simdega,24.26618475,87.25313852
Jharkhand,Garhwa,24.26618475,87.25313852
Jharkhand,Saraikela Kharsawan,24.26618475,87.25313852
Jharkhand,Gumla,23.1603759,84.45995652
Jharkhand,Chatra,24.9303981,87.82697148
Jharkhand,Khunti,24.9303981,87.82697148
Jharkhand,Dhanbad,25.18749095,87.744328
Jharkhand,Godda,25.11124865,87.58268863
Jharkhand,Deoghar,25.11124865,87.58268863
Jharkhand,Palamu,23.916667,84.083333
Jharkhand,Latehar,23.916667,84.083333
Jharkhand,West Singhbhum,23.916667,84.083333
Jharkhand,Pakur,23.916667,84.083333
Jharkhand,Lohardaga,23.43141321,84.67725357
Jharkhand,Sahebganj,25.0320437,87.69143108
Jharkhand,Giridih,24.25,85.916667
Jharkhand,Bokaro,24.25,85.916667
Karnataka,Mysuru,12.1988434,76.61353212
Karnataka,Chitradurga,14.3051049,76.52948762
Karnataka,Kalaburagi,17.24191785,76.77538281
Karnataka,Ramanagara,12.72465905,77.32018506
Karnataka,Mandya,12.6336348,76.73023183
Karnataka,Kodagu,12.2335192,76.2818865
Karnataka,Chikkamagaluru,13.4005751,75.63273824
Karnataka,Haveri,14.714635,75.38456743
Karnataka,Ballari,15.34594225,76.82043304
Karnataka,Belagavi,15.8572666,74.5069343
Karnataka,Kolar,13.1794187,78.26805838
Karnataka,Uttara Kannada,14.883333,74.583333
Karnataka,Tumakuru,13.3400771,77.1006208
Karnataka,Yadgir,16.7670964,77.1403984
Karnataka,Bengaluru Urban,12.8632604,77.4338693
Karnataka,Chikkaballapura,13.5883185,77.78043012
Karnataka,Davanagere,14.25041265,75.82562831
Karnataka,Bagalkote,16.28998085,75.58255865
Karnataka,Vijayapura,16.81105965,75.89714733
Karnataka,Koppal,15.57825725,76.31063912
Karnataka,Bidar,18.02315245,77.24971867
Karnataka,Bengaluru Rural,18.02315245,77.24971867
Karnataka,Raichur,16.0547194,76.90160088
Karnataka,Chamarajanagara,11.9238058,76.9393558
Karnataka,Dakshina Kannada,12.82133045,75.22767163
Karnataka,Hassan,13.029374,76.17429358
Karnataka,Dharwad,15.37259455,75.13728311
Karnataka,Shivamogga,13.9326093,75.574978
Karnataka,Udupi,13.52617505,74.87325316
Karnataka,Gadag,15.416337,75.68075428
Kerala,Thiruvananthapuram,10.6207081,76.1281782
Kerala,Kasaragod,12.42219635,75.19044458
Kerala,Malappuram,10.61381845,76.51663324
Kerala,Pathanamthitta,9.3675015,76.6586492
Kerala,Wayanad,11.2554224,75.78162653
Kerala,Alappuzha,9.777163,76.2803139
Kerala,Kozhikode,11.46559355,75.89194
Kerala,Kollam,8.8855684,76.5892353
Kerala,Thrissur,10.4786547,76.27261253
Kerala,Palakkad,10.78789845,76.47408711
Kerala,Kannur,11.9863343,75.54797043
Kerala,Kottayam,9.5003001,76.8353071
Kerala,Ernakulam,10.0383947,76.50741452
Kerala,Idukki,9.7253254,77.2103161
Ladakh,Kargil,33.802819,76.47300957
Ladakh,Leh Ladakh,34.1642029,77.5848133
Lakshadweep,Lakshadweep,10.8132489,73.68046209
Madhya Pradesh,Morena,26.4961372,77.9986659
Madhya Pradesh,Alirajpur,22.3118775,74.3555894
Madhya Pradesh,Sehore,23.1981078,77.0812948
Madhya Pradesh,Rajgarh,25.3338446,77.5083732
Madhya Pradesh,Khargone,21.8318939,75.6286115
Madhya Pradesh,Satna,24.5684403,80.8321439
Madhya Pradesh,Narsinghpur,22.9492648,79.1856846
Madhya Pradesh,Jabalpur,23.22420115,79.98248902
Madhya Pradesh,Hoshangabad,22.7575717,77.7188006
Madhya Pradesh,Vidisha,23.5200947,77.8085902
Madhya Pradesh,Balaghat,21.8611181,80.32141873
Madhya Pradesh,Singrauli,21.8611181,80.32141873
Madhya Pradesh,Betul,21.9034464,77.8983504
Madhya Pradesh,Sidhi,22.7018563,75.86663525
Madhya Pradesh,Datia,25.6406595,78.4559832
Madhya Pradesh,Dewas,22.9622115,76.048227
Madhya Pradesh,Sheopur,25.6760912,76.7120469
Madhya Pradesh,Neemuch,25.6760912,76.7120469
Madhya Pradesh,Raisen,23.3331473,77.7801239
Madhya Pradesh,Mandsaur,24.0697229,75.0727169
Madhya Pradesh,Barwani,22.7246439,75.8887036
Madhya Pradesh,Katni,23.8323636,80.3920242
Madhya Pradesh,Dindori,22.9460091,81.0751743
Madhya Pradesh,Shivpuri,25.37524125,77.82811933
Madhya Pradesh,Gwalior,26.2,78.2
Madhya Pradesh,Anuppur,26.2,78.2
Madhya Pradesh,Agar Malwa,26.2,78.2
Madhya Pradesh,Ashoknagar,24.57719,77.73266519
Madhya Pradesh,Sagar,21.5479393,79.5481447
Madhya Pradesh,Niwari,25.5575031,78.1466102
Madhya Pradesh,Rewa,23.1689247,80.03308114
Madhya Pradesh,Shajapur,23.4207601,76.27436
Madhya Pradesh,Ujjain,22.8633236,75.8543994
Madhya Pradesh,Bhind,26.5658766,78.7826782
Madhya Pradesh,Tikamgarh,24.7712387,78.835802
Madhya Pradesh,Seoni,21.6843487,80.2715206
Madhya Pradesh,Harda,22.3406138,77.0934034
Madhya Pradesh,Burhanpur,22.3406138,77.0934034
Madhya Pradesh,Damoh,21.8979776,80.7917082
Madhya Pradesh,Bhopal,23.2301418,77.4179774
Madhya Pradesh,Jhabua,22.6579114,75.8850109
Madhya Pradesh,Dhar,22.7109387,75.8334557
Madhya Pradesh,Guna,24.646649,77.3079412
Madhya Pradesh,East Nimar,21.75,76.583333
Madhya Pradesh,Chhindwara,22.0509324,78.939744
Madhya Pradesh,Umaria,23.5255015,80.8343366
Madhya Pradesh,Mandla,22.5962197,80.3702688
Madhya Pradesh,Indore,22.71113445,75.80768748
Madhya Pradesh,Shahdol,23.3104023,81.3702978
Madhya Pradesh,Ratlam,22.71673845,75.88149166
Madhya Pradesh,Panna,24.7172329,80.1873717
Madhya Pradesh,Chhatarpur,24.9072406,79.5844054
Maharashtra,Aurangabad,19.87990627,75.33891909
Maharashtra,Jalgaon,24.9072406,79.5844054
Maharashtra,Latur,18.3931679,76.56402547
Maharashtra,Thane,19.19682175,72.97869885
Maharashtra,Bhandara,21.1596616,79.6527375
Maharashtra,Nandurbar,21.3386847,74.2344823
Maharashtra,Chandrapur,19.9648425,79.2914735
Maharashtra,Kolhapur,16.5756833,74.3125599
Maharashtra,Solapur,17.66787665,75.90672724
Maharashtra,Mumbai,19.0517979,72.8292773
Maharashtra,Sindhudurg,16.11617835,73.69000425
Maharashtra,Dhule,20.9257339,74.7771388
Maharashtra,Wardha,20.73775615,78.60316843
Maharashtra,Parbhani,19.2713708,76.7644813
Maharashtra,Mumbai Suburban,19.2713708,76.7644813
Maharashtra,Hingoli,19.7222317,77.1544772
Maharashtra,Ratnagiri,16.9883802,73.29931182
Maharashtra,Nanded,19.15915835,77.30326994
Maharashtra,Osmanabad,18.18788,76.035779
Maharashtra,Nagpur,21.1170373,79.1045331
Maharashtra,Buldhana,21.1170373,79.1045331
Maharashtra,Nashik,19.9969676,73.7782466
Maharashtra,Akola,20.7141213,77.0065838
Maharashtra,Yavatmal,20.3908238,78.1324077
Maharashtra,Amravati,20.9376684,77.7781055
Maharashtra,Washim,20.1224632,77.1311174
Maharashtra,Sangli,16.8425456,74.60920166
Maharashtra,Gadchiroli,20.1700227,79.97914161
Maharashtra,Raigad,20.1700227,79.97914161
Maharashtra,Palghar,20.1700227,79.97914161
Maharashtra,Jalna,19.83228,75.874466
Maharashtra,Gondia,19.83228,75.874466
Maharashtra,Ahmednagar,19.108436,74.735394
Maharashtra,Pune,18.527863,73.85568328
Maharashtra,Beed,18.9869163,75.7533207
Maharashtra,Satara,17.6913198,74.0094374
Manipur,Kangpokpi,17.6913198,74.0094374
Manipur,Noney,17.6913198,74.0094374
Manipur,Imphal East,17.6913198,74.0094374
Manipur,Thoubal,24.84529,94.1449785
Manipur,Kakching,24.84529,94.1449785
Manipur,Jiribam,24.84529,94.1449785
Manipur,Ukhrul,25.3110738,94.47537752
Manipur,Tamenglong,24.9855683,93.5025164
Manipur,Kamjong,25,94.5
Manipur,Chandel,25,94.5
Manipur,Bishnupur,24.6319847,93.7619193
Manipur,Senapati,25.333333,94.166667
Manipur,Pherzawl,24.26344363,93.19096471
Manipur,Churachandpur,24.3429852,93.6928709
Manipur,Tengnoupal,24.3429852,93.6928709
Manipur,Imphal West,24.3429852,93.6928709
Meghalaya,North Garo Hills,24.3429852,93.6928709
Meghalaya,South West Khasi Hills,24.3429852,93.6928709
Meghalaya,West Garo Hills,24.3429852,93.6928709
Meghalaya,South Garo Hills,24.3429852,93.6928709
Meghalaya,East Jaintia Hills,24.3429852,93.6928709
Meghalaya,South West Garo Hills,24.3429852,93.6928709
Meghalaya,East Khasi Hills,24.3429852,93.6928709
Meghalaya,East Garo Hills,24.3429852,93.6928709
Meghalaya,Ribhoi,24.3429852,93.6928709
Meghalaya,West Jaintia Hills,24.3429852,93.6928709
Meghalaya,West Khasi Hills,24.3429852,93.6928709
Mizoram,Serchhip,23.3078982,92.8556728
Mizoram,Aizawl,23.3078982,92.8556728
Mizoram,Lunglei,23.3078982,92.8556728
Mizoram,Mamit,23.909285,92.4947387
Mizoram,Lawngtlai,22.7401468,93.0509285
Mizoram,Kolasib,24.2314023,92.6766193
Mizoram,Champhai,23.481,93.309599
Mizoram,Saiha,23.481,93.309599
Nagaland,Mon,26.7238973,95.0287876
Nagaland,Phek,25.70995365,94.46436151
Nagaland,Longleng,26.4929778,94.8042633
Nagaland,Mokokchung,26.4929778,94.8042633
Nagaland,Kiphire,25.8826359,94.781588
Nagaland,Kohima,25.6949988,94.12330065
Nagaland,Tuensang,26.25,94.75
Nagaland,Peren,25.5354667,93.7352403
Nagaland,Dimapur,25.904959,93.731523
Nagaland,Zunheboto,26.0030617,94.5236166
Nagaland,Wokha,26.0793431,94.25912545
Odisha,Rayagada,19.1643623,83.4077243
Odisha,Koraput,18.8848483,82.5596997
Odisha,Malkangiri,18.33798,81.8759462
Odisha,Sambalpur,21.4,83.883333
Odisha,Kalahandi,19.75,83
Odisha,Anugul,19.75,83
Odisha,Ganjam,19.5,84.5
Odisha,Jajapur,19.5,84.5
Odisha,Bargarh,21.40164,83.5826487
Odisha,Dhenkanal,20.6590059,85.5813728
Odisha,Bhadrak,21.0654838,86.5025885
Odisha,Nuapada,20.7990808,82.5346304
Odisha,Kendujhar,20.7990808,82.5346304
Odisha,Mayurbhanj,21.75,86.5
Odisha,Jharsuguda,21.8895058,84.0485068
Odisha,Kandhamal,21.8895058,84.0485068
Odisha,Deogarh,21.53937805,84.73646091
Odisha,Sundargarh,22.25,84.5
Odisha,Jagatsinghapur,22.25,84.5
Odisha,Balangir,20.7502257,83.2499464
Odisha,Baleshwar,21.5,86.75
Odisha,Puri,19.8142712,85.8299503
Odisha,Sonepur,20.8431294,83.90634541
Odisha,Khordha,20.8431294,83.90634541
Odisha,Boudh,20.8431294,83.90634541
Odisha,Gajapati,18.7716498,84.0968126
Odisha,Nayagarh,20.1280409,85.1066485
Odisha,Nabarangpur,19.2288319,82.5668344
Odisha,Kendrapara,20.5021306,86.4259806
Odisha,Cuttack,20.5021306,86.4259806
Puducherry,Karaikal,10.91564885,79.8069488
Puducherry,Puducherry,11.92201155,79.79513652
Puducherry,Yanam,16.7332235,82.20181178
Puducherry,Mahe,11.70086195,75.53600909
Punjab,Shahid Bhagat Singh Nagar,11.70086195,75.53600909
Punjab,Fazilka,30.3360996,74.11794319
Punjab,Barnala,30.3360996,74.11794319
Punjab,Mansa,30.3360996,74.11794319
Punjab,Ludhiana,30.479765,74.5354916
Punjab,Sri Muktsar Sahib,30.2831401,74.5229972
Punjab,Patiala,30.1407973,74.2001558
Punjab,Pathankot,32.3017104,75.65864247
Punjab,Fatehgarh Sahib,32.3017104,75.65864247
Punjab,Rupnagar,30.2102325,73.9925288
Punjab,Tarn Taran,31.32124525,74.84130629
Punjab,Sas Nagar,31.32124525,74.84130629
Punjab,Sangrur,31.32124525,74.84130629
Punjab,Jalandhar,31.32124525,74.84130629
Punjab,Bathinda,30.20378255,74.95031922
Punjab,Kapurthala,31.25,75.25
Punjab,Firozepur,31.25,75.25
Punjab,Gurdaspur,31.9042299,75.22738141
Punjab,Amritsar,31.3410997,74.6891758
Punjab,Faridkot,31.3410997,74.6891758
Punjab,Hoshiarpur,31.3410997,74.6891758
Punjab,Moga,32.033379,75.3949932
Rajasthan,Pali,25.6051226,73.41650555
Rajasthan,Ganganagar,29.5,74
Rajasthan,Churu,28.20477805,74.69129961
Rajasthan,Jaipur,27.1506772,75.74701642
Rajasthan,Baran,24.92077465,76.68218371
Rajasthan,Bhilwara,25.4889628,74.7164014
Rajasthan,Banswara,23.4929453,74.3498016
Rajasthan,Dungarpur,23.6723053,73.81664193
Rajasthan,Tonk,26.12231975,75.66322349
Rajasthan,Jodhpur,26.73668055,72.87475507
Rajasthan,Karauli,26.51583285,77.05659652
Rajasthan,Udaipur,24.453502,73.65234712
Rajasthan,Dausa,26.80486585,76.4437457
Rajasthan,Nagaur,27.05890605,74.17608322
Rajasthan,Bharatpur,27.2662364,77.36917931
Rajasthan,Barmer,25.58325505,71.61925561
Rajasthan,Ajmer,26.33188715,74.71697525
Rajasthan,Chittorgarh,24.7167691,74.47217477
Rajasthan,Hanumangarh,29.3659533,74.29842897
Rajasthan,Pratapgarh,24.02181175,74.62410749
Rajasthan,Sawai Madhopur,26.22901855,76.30435615
Rajasthan,Jalore,25.343876,72.624222
Rajasthan,Bikaner,28.11616165,73.110567
Rajasthan,Sikar,27.66241555,75.0279971
Rajasthan,Dholpur,27.66241555,75.0279971
Rajasthan,Sirohi,24.8114047,72.83002573
Rajasthan,Rajsamand,25.2892459,73.82410775
Rajasthan,Jaisalmer,27.0264162,70.77751198
Rajasthan,Bundi,25.4367659,75.73614709
Rajasthan,Jhalawar,24.31255575,76.52279955
Rajasthan,Alwar,27.63857345,76.61404272
Rajasthan,Kota,25.19668295,76.00096873
Rajasthan,Jhunjhunu,25.19668295,76.00096873
Sikkim,East,27.3290053,88.60986984
Sikkim,North,27.5048937,88.53981499
Sikkim,South,27.17091268,88.3668023
Sikkim,West,27.315686,88.23718339
Tamil Nadu,Tiruchirappalli,10.85046075,78.72453299
Tamil Nadu,Ramanathapuram,9.5205576,78.51846345
Tamil Nadu,Krishnagiri,12.5150555,78.00762134
Tamil Nadu,Cuddalore,11.52020705,79.33963565
Tamil Nadu,Kancheepuram,12.87960515,79.70427615
Tamil Nadu,Tiruppur,10.79152665,77.53254663
Tamil Nadu,Dharmapuri,12.14561305,78.11322172
Tamil Nadu,Thoothukkudi,8.84570345,77.99381784
Tamil Nadu,Thanjavur,10.65903695,79.20142776
Tamil Nadu,Madurai,9.9369266,78.00782301
Tamil Nadu,Tiruvannamalai,12.22713775,79.07012882
Tamil Nadu,Salem,11.64696155,78.21069575
Tamil Nadu,Nagapattinam,10.60262025,79.7619348
Tamil Nadu,Tirupathur,12.4533064,78.55290857
Tamil Nadu,Ariyalur,11.1530559,79.25857974
Tamil Nadu,Chennai,13.05843605,80.23610503
Tamil Nadu,The Nilgiris,11.4454657,76.69864649
Tamil Nadu,Erode,11.49052815,77.3505274
Tamil Nadu,Karur,10.8217671,78.38286541
Tamil Nadu,Kallakkurichi,11.690524,78.98242157
